epoch,batch_acc
epoch_43000,1.000000
epoch_43100,1.000000
epoch_43200,1.000000
epoch_43300,1.000000
epoch_43400,1.000000
epoch_43500,1.000000
epoch_43600,1.000000
epoch_43700,1.000000
epoch_43800,1.000000
epoch_43900,1.000000
epoch_44000,1.000000
epoch_44100,1.000000
epoch_44200,1.000000
epoch_44300,1.000000
epoch_44400,1.000000
epoch_44500,1.000000
epoch_44600,1.000000
epoch_44700,1.000000
epoch_44800,1.000000
epoch_44900,1.000000
epoch_45000,1.000000
epoch_45100,1.000000
epoch_45200,1.000000
epoch_45300,1.000000
epoch_45400,1.000000
epoch_45500,1.000000
epoch_45600,1.000000
epoch_45700,1.000000
epoch_45800,1.000000
epoch_45900,1.000000
epoch_46000,1.000000
epoch_46100,1.000000
epoch_46200,1.000000
epoch_46300,1.000000
